gid	ftype
Zm00001d034836	subgenome1_fractionated
Zm00001d034835	subgenome1_retained
Zm00001d034834	subgenome1_fractionated
Zm00001d034833	subgenome1_retained
Zm00001d034832	subgenome1_fractionated
Zm00001d034830	subgenome1_retained
Zm00001d034829	subgenome1_fractionated
Zm00001d034828	subgenome1_fractionated
Zm00001d034827	subgenome1_retained
Zm00001d034826	subgenome1_fractionated
Zm00001d034823	subgenome1_retained
Zm00001d034822	subgenome1_fractionated
Zm00001d034818	subgenome1_fractionated
Zm00001d034817	subgenome1_fractionated
Zm00001d034814	subgenome1_fractionated
Zm00001d034813	subgenome1_fractionated
Zm00001d034809	subgenome1_retained
Zm00001d034808	subgenome1_fractionated
Zm00001d034807	subgenome1_fractionated
Zm00001d034805	subgenome1_retained
Zm00001d034804	subgenome1_fractionated
Zm00001d034803	subgenome1_fractionated
Zm00001d034801	subgenome1_fractionated
Zm00001d034799	subgenome1_fractionated
Zm00001d034797	subgenome1_fractionated
Zm00001d034796	subgenome1_fractionated
Zm00001d034795	subgenome1_fractionated
Zm00001d034793	subgenome1_retained
Zm00001d034790	subgenome1_retained
Zm00001d034788	subgenome1_retained
Zm00001d034787	subgenome1_fractionated
Zm00001d034784	subgenome1_fractionated
Zm00001d034783	subgenome1_fractionated
Zm00001d034781	subgenome1_fractionated
Zm00001d034779	subgenome1_fractionated
Zm00001d034778	subgenome1_fractionated
Zm00001d034777	subgenome1_fractionated
Zm00001d034776	subgenome1_fractionated
Zm00001d034773	subgenome1_fractionated
Zm00001d034770	subgenome1_fractionated
Zm00001d034763	subgenome1_retained
Zm00001d034764	subgenome1_fractionated
Zm00001d034768	subgenome1_fractionated
Zm00001d034769	subgenome1_fractionated
Zm00001d034761	subgenome1_fractionated
Zm00001d034760	subgenome1_fractionated
Zm00001d034759	subgenome1_retained
Zm00001d034758	subgenome1_retained
Zm00001d034757	subgenome1_fractionated
Zm00001d034756	subgenome1_fractionated
Zm00001d034755	subgenome1_retained
Zm00001d034754	subgenome1_retained
Zm00001d034753	subgenome1_fractionated
Zm00001d034752	subgenome1_retained
Zm00001d034751	subgenome1_fractionated
Zm00001d034750	subgenome1_fractionated
Zm00001d034749	subgenome1_fractionated
Zm00001d034747	subgenome1_fractionated
Zm00001d034746	subgenome1_fractionated
Zm00001d034745	subgenome1_retained
Zm00001d034741	subgenome1_fractionated
Zm00001d034740	subgenome1_retained
Zm00001d034739	subgenome1_fractionated
Zm00001d034738	subgenome1_fractionated
Zm00001d034744	subgenome1_fractionated
Zm00001d034734	subgenome1_fractionated
Zm00001d034733	subgenome1_fractionated
Zm00001d034732	subgenome1_fractionated
Zm00001d034731	subgenome1_fractionated
Zm00001d034730	subgenome1_retained
Zm00001d034729	subgenome1_retained
Zm00001d034727	subgenome1_fractionated
Zm00001d034726	subgenome1_fractionated
Zm00001d034725	subgenome1_fractionated
Zm00001d034724	subgenome1_fractionated
Zm00001d034723	subgenome1_fractionated
Zm00001d034722	subgenome1_fractionated
Zm00001d034721	subgenome1_retained
Zm00001d034719	subgenome1_retained
Zm00001d034718	subgenome1_fractionated
Zm00001d034717	subgenome1_fractionated
Zm00001d034669	subgenome1_fractionated
Zm00001d034715	subgenome1_fractionated
Zm00001d034714	subgenome1_retained
Zm00001d034713	subgenome1_retained
Zm00001d034710	subgenome1_fractionated
Zm00001d034706	subgenome1_fractionated
Zm00001d034705	subgenome1_fractionated
Zm00001d034703	subgenome1_retained
Zm00001d034702	subgenome1_fractionated
Zm00001d034701	subgenome1_fractionated
Zm00001d034700	subgenome1_retained
Zm00001d034699	subgenome1_fractionated
Zm00001d034698	subgenome1_retained
Zm00001d034689	subgenome1_retained
Zm00001d034692	subgenome1_fractionated
Zm00001d034686	subgenome1_fractionated
Zm00001d034682	subgenome1_fractionated
Zm00001d034681	subgenome1_fractionated
Zm00001d034680	subgenome1_retained
Zm00001d034679	subgenome1_retained
Zm00001d034678	subgenome1_retained
Zm00001d034677	subgenome1_retained
Zm00001d034675	subgenome1_retained
Zm00001d034674	subgenome1_retained
Zm00001d034673	subgenome1_retained
Zm00001d034672	subgenome1_retained
Zm00001d034671	subgenome1_retained
Zm00001d034668	subgenome1_fractionated
Zm00001d034667	subgenome1_retained
Zm00001d034666	subgenome1_fractionated
Zm00001d034665	subgenome1_fractionated
Zm00001d034664	subgenome1_fractionated
Zm00001d034663	subgenome1_retained
Zm00001d034662	subgenome1_retained
Zm00001d034659	subgenome1_retained
Zm00001d034655	subgenome1_retained
Zm00001d034651	subgenome1_retained
Zm00001d034650	subgenome1_retained
Zm00001d034649	subgenome1_retained
Zm00001d034644	subgenome1_retained
Zm00001d034643	subgenome1_retained
Zm00001d034642	subgenome1_retained
Zm00001d034641	subgenome1_retained
Zm00001d034640	subgenome1_retained
Zm00001d034639	subgenome1_retained
Zm00001d034638	subgenome1_fractionated
Zm00001d034636	subgenome1_retained
Zm00001d034635	subgenome1_retained
Zm00001d034634	subgenome1_retained
Zm00001d034633	subgenome1_retained
Zm00001d034630	subgenome1_fractionated
Zm00001d034629	subgenome1_fractionated
Zm00001d034628	subgenome1_retained
Zm00001d034627	subgenome1_retained
Zm00001d034624	subgenome1_fractionated
Zm00001d034617	subgenome1_fractionated
Zm00001d034618	subgenome1_retained
Zm00001d034620	subgenome1_retained
Zm00001d034621	subgenome1_retained
Zm00001d034616	subgenome1_fractionated
Zm00001d034615	subgenome1_fractionated
Zm00001d034611	subgenome1_fractionated
Zm00001d034610	subgenome1_fractionated
Zm00001d034609	subgenome1_retained
Zm00001d034608	subgenome1_fractionated
Zm00001d034607	subgenome1_fractionated
Zm00001d034606	subgenome1_retained
Zm00001d034605	subgenome1_fractionated
Zm00001d034604	subgenome1_retained
Zm00001d034602	subgenome1_retained
Zm00001d034601	subgenome1_retained
Zm00001d034600	subgenome1_fractionated
Zm00001d034598	subgenome1_retained
Zm00001d034597	subgenome1_retained
Zm00001d034596	subgenome1_fractionated
Zm00001d034595	subgenome1_fractionated
Zm00001d034594	subgenome1_fractionated
Zm00001d034591	subgenome1_retained
Zm00001d034590	subgenome1_retained
Zm00001d034588	subgenome1_fractionated
Zm00001d034586	subgenome1_fractionated
Zm00001d034584	subgenome1_retained
Zm00001d034582	subgenome1_retained
Zm00001d034581	subgenome1_fractionated
Zm00001d034578	subgenome1_fractionated
Zm00001d034577	subgenome1_retained
Zm00001d034575	subgenome1_retained
Zm00001d034572	subgenome1_retained
Zm00001d034571	subgenome1_fractionated
Zm00001d034569	subgenome1_fractionated
Zm00001d034568	subgenome1_fractionated
Zm00001d034563	subgenome1_fractionated
Zm00001d034564	subgenome1_fractionated
Zm00001d034565	subgenome1_fractionated
Zm00001d034562	subgenome1_retained
Zm00001d034560	subgenome1_fractionated
Zm00001d034559	subgenome1_retained
Zm00001d034558	subgenome1_fractionated
Zm00001d034553	subgenome1_fractionated
Zm00001d034552	subgenome1_retained
Zm00001d034550	subgenome1_retained
Zm00001d034547	subgenome1_fractionated
Zm00001d034546	subgenome1_retained
Zm00001d034543	subgenome1_retained
Zm00001d034534	subgenome1_fractionated
Zm00001d034533	subgenome1_fractionated
Zm00001d034532	subgenome1_fractionated
Zm00001d034531	subgenome1_fractionated
Zm00001d034528	subgenome1_retained
Zm00001d034527	subgenome1_retained
Zm00001d034526	subgenome1_fractionated
Zm00001d034525	subgenome1_retained
Zm00001d034524	subgenome1_fractionated
Zm00001d034523	subgenome1_fractionated
Zm00001d034522	subgenome1_fractionated
Zm00001d034521	subgenome1_retained
Zm00001d034520	subgenome1_retained
Zm00001d034519	subgenome1_fractionated
Zm00001d034518	subgenome1_retained
Zm00001d034517	subgenome1_retained
Zm00001d034516	subgenome1_retained
Zm00001d034515	subgenome1_fractionated
Zm00001d034514	subgenome1_fractionated
Zm00001d034513	subgenome1_fractionated
Zm00001d034512	subgenome1_retained
Zm00001d034511	subgenome1_retained
Zm00001d034510	subgenome1_fractionated
Zm00001d034509	subgenome1_fractionated
Zm00001d034508	subgenome1_retained
Zm00001d034506	subgenome1_fractionated
Zm00001d034505	subgenome1_retained
Zm00001d034503	subgenome1_fractionated
Zm00001d034502	subgenome1_fractionated
Zm00001d034501	subgenome1_fractionated
Zm00001d034498	subgenome1_fractionated
Zm00001d034497	subgenome1_fractionated
Zm00001d034496	subgenome1_fractionated
Zm00001d034495	subgenome1_fractionated
Zm00001d034494	subgenome1_retained
Zm00001d034493	subgenome1_fractionated
Zm00001d034492	subgenome1_retained
Zm00001d034491	subgenome1_fractionated
Zm00001d034490	subgenome1_fractionated
Zm00001d034488	subgenome1_fractionated
Zm00001d034487	subgenome1_fractionated
Zm00001d034486	subgenome1_fractionated
Zm00001d034485	subgenome1_fractionated
Zm00001d034484	subgenome1_fractionated
Zm00001d034483	subgenome1_fractionated
Zm00001d034482	subgenome1_fractionated
Zm00001d034480	subgenome1_retained
Zm00001d034479	subgenome1_retained
Zm00001d034475	subgenome1_fractionated
Zm00001d034469	subgenome1_retained
Zm00001d034468	subgenome1_fractionated
Zm00001d034467	subgenome1_retained
Zm00001d034463	subgenome1_retained
Zm00001d034462	subgenome1_retained
Zm00001d034453	subgenome1_fractionated
Zm00001d034460	subgenome1_fractionated
Zm00001d034457	subgenome1_retained
Zm00001d034446	subgenome1_retained
Zm00001d034444	subgenome1_fractionated
Zm00001d034443	subgenome1_fractionated
Zm00001d034440	subgenome1_retained
Zm00001d034439	subgenome1_retained
Zm00001d034435	subgenome1_fractionated
Zm00001d034433	subgenome1_fractionated
Zm00001d034432	subgenome1_retained
Zm00001d034431	subgenome1_retained
Zm00001d034429	subgenome1_retained
Zm00001d034428	subgenome1_retained
Zm00001d034427	subgenome1_retained
Zm00001d034425	subgenome1_retained
Zm00001d034424	subgenome1_fractionated
Zm00001d034422	subgenome1_retained
Zm00001d034420	subgenome1_fractionated
Zm00001d034417	subgenome1_retained
Zm00001d034419	subgenome1_retained
Zm00001d034418	subgenome1_retained
Zm00001d034416	subgenome1_retained
Zm00001d034415	subgenome1_retained
Zm00001d034413	subgenome1_fractionated
Zm00001d034410	subgenome1_retained
Zm00001d034409	subgenome1_fractionated
Zm00001d034396	subgenome1_fractionated
Zm00001d034406	subgenome1_fractionated
Zm00001d034405	subgenome1_fractionated
Zm00001d034404	subgenome1_retained
Zm00001d034401	subgenome1_retained
Zm00001d034400	subgenome1_retained
Zm00001d034399	subgenome1_retained
Zm00001d034389	subgenome1_fractionated
Zm00001d034388	subgenome1_retained
Zm00001d034387	subgenome1_retained
Zm00001d034384	subgenome1_fractionated
Zm00001d034383	subgenome1_fractionated
Zm00001d034380	subgenome1_retained
Zm00001d034379	subgenome1_retained
Zm00001d034376	subgenome1_retained
Zm00001d034369	subgenome1_retained
Zm00001d034373	subgenome1_retained
Zm00001d034372	subgenome1_retained
Zm00001d034371	subgenome1_fractionated
Zm00001d034368	subgenome1_retained
Zm00001d034366	subgenome1_retained
Zm00001d034365	subgenome1_retained
Zm00001d034364	subgenome1_fractionated
Zm00001d034361	subgenome1_retained
Zm00001d034360	subgenome1_fractionated
Zm00001d034359	subgenome1_retained
Zm00001d034358	subgenome1_fractionated
Zm00001d034356	subgenome1_fractionated
Zm00001d034353	subgenome1_retained
Zm00001d034351	subgenome1_fractionated
Zm00001d034350	subgenome1_fractionated
Zm00001d034346	subgenome1_fractionated
Zm00001d034345	subgenome1_fractionated
Zm00001d034344	subgenome1_retained
Zm00001d034343	subgenome1_retained
Zm00001d034341	subgenome1_retained
Zm00001d034340	subgenome1_fractionated
Zm00001d034339	subgenome1_fractionated
Zm00001d034338	subgenome1_fractionated
Zm00001d034337	subgenome1_retained
Zm00001d034298	subgenome1_retained
Zm00001d034313	subgenome1_fractionated
Zm00001d034312	subgenome1_retained
Zm00001d034305	subgenome1_fractionated
Zm00001d034286	subgenome1_retained
Zm00001d034318	subgenome1_fractionated
Zm00001d034317	subgenome1_fractionated
Zm00001d034319	subgenome1_fractionated
Zm00001d034320	subgenome1_retained
Zm00001d034326	subgenome1_retained
Zm00001d034330	subgenome1_fractionated
Zm00001d034331	subgenome1_retained
Zm00001d034283	subgenome1_retained
Zm00001d034282	subgenome1_fractionated
Zm00001d034279	subgenome1_fractionated
Zm00001d034278	subgenome1_retained
Zm00001d034277	subgenome1_retained
Zm00001d034270	subgenome1_fractionated
Zm00001d034266	subgenome1_fractionated
Zm00001d034263	subgenome1_fractionated
Zm00001d034257	subgenome1_retained
Zm00001d034256	subgenome1_fractionated
Zm00001d034255	subgenome1_fractionated
Zm00001d034254	subgenome1_fractionated
Zm00001d034253	subgenome1_fractionated
Zm00001d034252	subgenome1_fractionated
Zm00001d034250	subgenome1_fractionated
Zm00001d034249	subgenome1_fractionated
Zm00001d034248	subgenome1_fractionated
Zm00001d034245	subgenome1_fractionated
Zm00001d034244	subgenome1_retained
Zm00001d034240	subgenome1_retained
Zm00001d034241	subgenome1_fractionated
Zm00001d034239	subgenome1_fractionated
Zm00001d034237	subgenome1_retained
Zm00001d034223	subgenome1_fractionated
Zm00001d034221	subgenome1_retained
Zm00001d034219	subgenome1_fractionated
Zm00001d034218	subgenome1_fractionated
Zm00001d034217	subgenome1_retained
Zm00001d034212	subgenome1_fractionated
Zm00001d034207	subgenome1_retained
Zm00001d034206	subgenome1_retained
Zm00001d034205	subgenome1_retained
Zm00001d034204	subgenome1_retained
Zm00001d034201	subgenome1_fractionated
Zm00001d034199	subgenome1_retained
Zm00001d034198	subgenome1_retained
Zm00001d034197	subgenome1_retained
Zm00001d034196	subgenome1_fractionated
Zm00001d034195	subgenome1_fractionated
Zm00001d034194	subgenome1_fractionated
Zm00001d034192	subgenome1_fractionated
Zm00001d034191	subgenome1_retained
Zm00001d034190	subgenome1_retained
Zm00001d034189	subgenome1_fractionated
Zm00001d034188	subgenome1_retained
Zm00001d034187	subgenome1_retained
Zm00001d034186	subgenome1_retained
Zm00001d034183	subgenome1_retained
Zm00001d034182	subgenome1_fractionated
Zm00001d034181	subgenome1_retained
Zm00001d034180	subgenome1_retained
Zm00001d034179	subgenome1_retained
Zm00001d034178	subgenome1_retained
Zm00001d034175	subgenome1_retained
Zm00001d034173	subgenome1_fractionated
Zm00001d034167	subgenome1_retained
Zm00001d034166	subgenome1_retained
Zm00001d034163	subgenome1_retained
Zm00001d034161	subgenome1_retained
Zm00001d034160	subgenome1_retained
Zm00001d034159	subgenome1_retained
Zm00001d034152	subgenome1_retained
Zm00001d034145	subgenome1_retained
Zm00001d034143	subgenome1_fractionated
Zm00001d034137	subgenome1_retained
Zm00001d034133	subgenome1_fractionated
Zm00001d034131	subgenome1_retained
Zm00001d034130	subgenome1_retained
Zm00001d034129	subgenome1_retained
Zm00001d034128	subgenome1_retained
Zm00001d034126	subgenome1_retained
Zm00001d034125	subgenome1_retained
Zm00001d034124	subgenome1_fractionated
Zm00001d034115	subgenome1_retained
Zm00001d034112	subgenome1_fractionated
Zm00001d034111	subgenome1_fractionated
Zm00001d034110	subgenome1_retained
Zm00001d034109	subgenome1_retained
Zm00001d034108	subgenome1_fractionated
Zm00001d034107	subgenome1_retained
Zm00001d034104	subgenome1_retained
Zm00001d034091	subgenome1_retained
Zm00001d034089	subgenome1_fractionated
Zm00001d034087	subgenome1_retained
Zm00001d034085	subgenome1_retained
Zm00001d034084	subgenome1_fractionated
Zm00001d034082	subgenome1_retained
Zm00001d034081	subgenome1_fractionated
Zm00001d034080	subgenome1_retained
Zm00001d034076	subgenome1_retained
Zm00001d034074	subgenome1_fractionated
Zm00001d034073	subgenome1_fractionated
Zm00001d034072	subgenome1_retained
Zm00001d034068	subgenome1_retained
Zm00001d034069	subgenome1_retained
Zm00001d034067	subgenome1_retained
Zm00001d034066	subgenome1_retained
Zm00001d034064	subgenome1_fractionated
Zm00001d034063	subgenome1_retained
Zm00001d034062	subgenome1_retained
Zm00001d034059	subgenome1_retained
Zm00001d034058	subgenome1_fractionated
Zm00001d034055	subgenome1_retained
Zm00001d034054	subgenome1_fractionated
Zm00001d034050	subgenome1_fractionated
Zm00001d034049	subgenome1_retained
Zm00001d034048	subgenome1_retained
Zm00001d034047	subgenome1_retained
Zm00001d034045	subgenome1_retained
Zm00001d034039	subgenome1_fractionated
Zm00001d034038	subgenome1_retained
Zm00001d034030	subgenome1_fractionated
Zm00001d034037	subgenome1_retained
Zm00001d034036	subgenome1_fractionated
Zm00001d034035	subgenome1_fractionated
Zm00001d034034	subgenome1_fractionated
Zm00001d034033	subgenome1_retained
Zm00001d034032	subgenome1_fractionated
Zm00001d034031	subgenome1_retained
Zm00001d034030	subgenome1_retained
Zm00001d034028	subgenome1_fractionated
Zm00001d034027	subgenome1_fractionated
Zm00001d034020	subgenome1_fractionated
Zm00001d034019	subgenome1_fractionated
Zm00001d034018	subgenome1_retained
Zm00001d034017	subgenome1_retained
Zm00001d034015	subgenome1_retained
Zm00001d034013	subgenome1_fractionated
Zm00001d034012	subgenome1_retained
Zm00001d034011	subgenome1_fractionated
Zm00001d034010	subgenome1_retained
Zm00001d034007	subgenome1_fractionated
Zm00001d034006	subgenome1_fractionated
Zm00001d034005	subgenome1_fractionated
Zm00001d034004	subgenome1_retained
Zm00001d034003	subgenome1_fractionated
Zm00001d034002	subgenome1_fractionated
Zm00001d034001	subgenome1_fractionated
Zm00001d034000	subgenome1_fractionated
Zm00001d033999	subgenome1_fractionated
Zm00001d033998	subgenome1_retained
Zm00001d033994	subgenome1_retained
Zm00001d033995	subgenome1_retained
Zm00001d033994	subgenome1_fractionated
Zm00001d033993	subgenome1_fractionated
Zm00001d033992	subgenome1_fractionated
Zm00001d033991	subgenome1_retained
Zm00001d033990	subgenome1_retained
Zm00001d033989	subgenome1_fractionated
Zm00001d033988	subgenome1_fractionated
Zm00001d033987	subgenome1_fractionated
Zm00001d033986	subgenome1_retained
Zm00001d033985	subgenome1_fractionated
Zm00001d033984	subgenome1_fractionated
Zm00001d033983	subgenome1_fractionated
Zm00001d033982	subgenome1_retained
Zm00001d033981	subgenome1_retained
Zm00001d033980	subgenome1_fractionated
Zm00001d033979	subgenome1_retained
Zm00001d033977	subgenome1_fractionated
Zm00001d033976	subgenome1_retained
Zm00001d033975	subgenome1_retained
Zm00001d033969	subgenome1_fractionated
Zm00001d033968	subgenome1_fractionated
Zm00001d033967	subgenome1_retained
Zm00001d033966	subgenome1_retained
Zm00001d033965	subgenome1_retained
Zm00001d033957	subgenome1_fractionated
Zm00001d033955	subgenome1_fractionated
Zm00001d033954	subgenome1_fractionated
Zm00001d033951	subgenome1_retained
Zm00001d033943	subgenome1_retained
Zm00001d033942	subgenome1_fractionated
Zm00001d033941	subgenome1_fractionated
Zm00001d033935	subgenome1_fractionated
Zm00001d033933	subgenome1_fractionated
Zm00001d033932	subgenome1_fractionated
Zm00001d033931	subgenome1_fractionated
Zm00001d033930	subgenome1_retained
Zm00001d033929	subgenome1_fractionated
Zm00001d033928	subgenome1_fractionated
Zm00001d033935	subgenome1_retained
Zm00001d033927	subgenome1_retained
Zm00001d033925	subgenome1_fractionated
Zm00001d033924	subgenome1_retained
Zm00001d033919	subgenome1_retained
Zm00001d033917	subgenome1_retained
Zm00001d033916	subgenome1_fractionated
Zm00001d033915	subgenome1_fractionated
Zm00001d033913	subgenome1_retained
Zm00001d033912	subgenome1_retained
Zm00001d033910	subgenome1_fractionated
Zm00001d033909	subgenome1_fractionated
Zm00001d033906	subgenome1_retained
Zm00001d033905	subgenome1_fractionated
Zm00001d033902	subgenome1_fractionated
Zm00001d033897	subgenome1_retained
Zm00001d033898	subgenome1_fractionated
Zm00001d033896	subgenome1_fractionated
Zm00001d033895	subgenome1_fractionated
Zm00001d033893	subgenome1_fractionated
Zm00001d033892	subgenome1_fractionated
Zm00001d033891	subgenome1_fractionated
Zm00001d033890	subgenome1_fractionated
Zm00001d033886	subgenome1_fractionated
Zm00001d033884	subgenome1_retained
Zm00001d033882	subgenome1_fractionated
Zm00001d033879	subgenome1_fractionated
Zm00001d033878	subgenome1_retained
Zm00001d033877	subgenome1_fractionated
Zm00001d033876	subgenome1_retained
Zm00001d033874	subgenome1_retained
Zm00001d033873	subgenome1_fractionated
Zm00001d033872	subgenome1_fractionated
Zm00001d033870	subgenome1_retained
Zm00001d033869	subgenome1_fractionated
Zm00001d033863	subgenome1_fractionated
Zm00001d033866	subgenome1_fractionated
Zm00001d033862	subgenome1_fractionated
Zm00001d033861	subgenome1_fractionated
Zm00001d033860	subgenome1_fractionated
Zm00001d033859	subgenome1_fractionated
Zm00001d033858	subgenome1_retained
Zm00001d033857	subgenome1_fractionated
Zm00001d033855	subgenome1_fractionated
Zm00001d033854	subgenome1_retained
Zm00001d033853	subgenome1_fractionated
Zm00001d033850	subgenome1_retained
Zm00001d033849	subgenome1_fractionated
Zm00001d033848	subgenome1_retained
Zm00001d033847	subgenome1_retained
Zm00001d033846	subgenome1_fractionated
Zm00001d033843	subgenome1_retained
Zm00001d033840	subgenome1_retained
Zm00001d033839	subgenome1_retained
Zm00001d033836	subgenome1_fractionated
Zm00001d033835	subgenome1_retained
Zm00001d033834	subgenome1_retained
Zm00001d033830	subgenome1_retained
Zm00001d033829	subgenome1_retained
Zm00001d033827	subgenome1_fractionated
Zm00001d033825	subgenome1_retained
Zm00001d033823	subgenome1_fractionated
Zm00001d033822	subgenome1_retained
Zm00001d033821	subgenome1_fractionated
Zm00001d033818	subgenome1_retained
Zm00001d033817	subgenome1_fractionated
Zm00001d033815	subgenome1_retained
Zm00001d033805	subgenome1_fractionated
Zm00001d033800	subgenome1_fractionated
Zm00001d033799	subgenome1_retained
Zm00001d033798	subgenome1_retained
Zm00001d033797	subgenome1_retained
Zm00001d033795	subgenome1_fractionated
Zm00001d033794	subgenome1_fractionated
Zm00001d033793	subgenome1_fractionated
Zm00001d033792	subgenome1_fractionated
Zm00001d033791	subgenome1_retained
Zm00001d033790	subgenome1_retained
Zm00001d033788	subgenome1_fractionated
Zm00001d033787	subgenome1_retained
Zm00001d033786	subgenome1_retained
Zm00001d033782	subgenome1_fractionated
Zm00001d033780	subgenome1_fractionated
Zm00001d033778	subgenome1_fractionated
Zm00001d033777	subgenome1_retained
Zm00001d033776	subgenome1_fractionated
Zm00001d033775	subgenome1_fractionated
Zm00001d033772	subgenome1_fractionated
Zm00001d033766	subgenome1_retained
Zm00001d033765	subgenome1_retained
Zm00001d033764	subgenome1_retained
Zm00001d033754	subgenome1_retained
Zm00001d033753	subgenome1_retained
Zm00001d033752	subgenome1_fractionated
Zm00001d033751	subgenome1_retained
Zm00001d033750	subgenome1_retained
Zm00001d033749	subgenome1_fractionated
Zm00001d033747	subgenome1_fractionated
Zm00001d033746	subgenome1_retained
Zm00001d033745	subgenome1_retained
Zm00001d033744	subgenome1_retained
Zm00001d033741	subgenome1_retained
Zm00001d033738	subgenome1_fractionated
Zm00001d033726	subgenome1_retained
Zm00001d033727	subgenome1_fractionated
Zm00001d033730	subgenome1_retained
Zm00001d033731	subgenome1_fractionated
Zm00001d033734	subgenome1_retained
Zm00001d033719	subgenome1_retained
Zm00001d033718	subgenome1_fractionated
Zm00001d033717	subgenome1_retained
Zm00001d033716	subgenome1_retained
Zm00001d033714	subgenome1_fractionated
Zm00001d033711	subgenome1_retained
Zm00001d033710	subgenome1_retained
Zm00001d033709	subgenome1_retained
Zm00001d033708	subgenome1_fractionated
Zm00001d033707	subgenome1_fractionated
Zm00001d033706	subgenome1_retained
Zm00001d033705	subgenome1_retained
Zm00001d033704	subgenome1_retained
Zm00001d033685	subgenome1_fractionated
Zm00001d033684	subgenome1_retained
Zm00001d033683	subgenome1_retained
Zm00001d033682	subgenome1_retained
Zm00001d033680	subgenome1_retained
Zm00001d033675	subgenome1_fractionated
Zm00001d033674	subgenome1_retained
Zm00001d033673	subgenome1_retained
Zm00001d033671	subgenome1_retained
Zm00001d033670	subgenome1_retained
Zm00001d033669	subgenome1_retained
Zm00001d033668	subgenome1_retained
Zm00001d033666	subgenome1_fractionated
Zm00001d033665	subgenome1_fractionated
Zm00001d033664	subgenome1_fractionated
Zm00001d033656	subgenome1_fractionated
Zm00001d033655	subgenome1_retained
Zm00001d033654	subgenome1_fractionated
Zm00001d033652	subgenome1_fractionated
Zm00001d033651	subgenome1_fractionated
Zm00001d033650	subgenome1_fractionated
Zm00001d033649	subgenome1_fractionated
Zm00001d033648	subgenome1_fractionated
Zm00001d033694	subgenome1_fractionated
Zm00001d033646	subgenome1_retained
Zm00001d033645	subgenome1_fractionated
Zm00001d033642	subgenome1_retained
Zm00001d033641	subgenome1_fractionated
Zm00001d033640	subgenome1_fractionated
Zm00001d033637	subgenome1_fractionated
Zm00001d033636	subgenome1_retained
Zm00001d033634	subgenome1_fractionated
Zm00001d033633	subgenome1_fractionated
Zm00001d033632	subgenome1_fractionated
Zm00001d033625	subgenome1_retained
Zm00001d033624	subgenome1_retained
Zm00001d033623	subgenome1_retained
Zm00001d033621	subgenome1_fractionated
Zm00001d033620	subgenome1_fractionated
Zm00001d033619	subgenome1_fractionated
