sorghum	maize1	maize2	ftype
EER93190	Zm00001d034651	Zm00001d012963	both-retained
EER93191	.	.	non-syntenic
EER90625	Zm00001d034650	Zm00001d012964	both-retained
EER90626	Zm00001d034649	Zm00001d012965	both-retained
KXG37255	Zm00001d034644	Zm00001d012966	both-retained
KXG37257	Zm00001d034643	Zm00001d012966	both-retained
EER93193	Zm00001d034642	Zm00001d012967	both-retained
EER93194	Zm00001d034641	Zm00001d012968	both-retained
KXG37258	Zm00001d034640	Zm00001d012969	both-retained
EER90627	Zm00001d034639	Zm00001d012967	both-retained
EER93195	Zm00001d034638	.	maize1-retained
OQU90725	.	.	non-syntenic
OQU90727	Zm00001d034636	Zm00001d012970	both-retained
EER90629	Zm00001d034635	Zm00001d012972	both-retained
KXG37260	.	.	non-syntenic
EER90630	Zm00001d034634	Zm00001d012973	both-retained
OQU90733	.	.	non-syntenic
OQU90735	Zm00001d034633	Zm00001d012974	both-retained
EER93197	.	Zm00001d012975	maize2-retained
EER93198	Zm00001d034630	.	maize1-retained
KXG37264	.	.	non-syntenic
OQU90737	.	.	non-syntenic
EER93200	.	.	non-syntenic
EER93202	Zm00001d034629	.	maize1-retained
EER90632	Zm00001d034628	Zm00001d012978	both-retained
EER90633	Zm00001d034627	Zm00001d012979	both-retained
OQU90738	.	.	non-syntenic
OQU90739	.	.	non-syntenic
KXG37265	Zm00001d034624	.	maize1-retained
OQU90740	.	.	non-syntenic
KXG37266	.	.	non-syntenic
KXG37267	.	.	non-syntenic
EER90640	.	.	non-syntenic
OQU90744	.	.	non-syntenic
EER90641	.	.	non-syntenic
KXG37269	.	.	non-syntenic
OQU90747	.	.	non-syntenic
KXG37270	.	Zm00001d012980	maize2-retained
EER93204	.	Zm00001d012982	maize2-retained
OQU90748	Zm00001d034617	.	maize1-retained
OQU90749	.	.	non-syntenic
EER93206	Zm00001d034618	Zm00001d012984	both-retained
EER90644	Zm00001d034620	Zm00001d012983	both-retained
EER90645	Zm00001d034621	Zm00001d012983	both-retained
EER90646	Zm00001d034620	Zm00001d012983	both-retained
OQU90750	.	.	non-syntenic
EER93207	.	.	non-syntenic
OQU90752	.	.	non-syntenic
KXG37271	.	Zm00001d012988	maize2-retained
EER93209	Zm00001d034616	.	maize1-retained
EER90648	Zm00001d034615	.	maize1-retained
EER90649	Zm00001d034615	.	maize1-retained
EER93210	.	Zm00001d012991	maize2-retained
EER93211	Zm00001d034611	.	maize1-retained
EER90650	Zm00001d034610	.	maize1-retained
OQU90753	Zm00001d034609	Zm00001d012992	both-retained
KXG37273	Zm00001d034608	.	maize1-retained
EER90651	Zm00001d034607	.	maize1-retained
EER90652	Zm00001d034606	Zm00001d012993	both-retained
OQU90754	.	.	non-syntenic
EER90653	Zm00001d034605	.	maize1-retained
EER93213	Zm00001d034604	Zm00001d012996	both-retained
OQU90755	.	Zm00001d012998	maize2-retained
EER90654	Zm00001d034602	Zm00001d012999	both-retained
EER93215	Zm00001d034601	Zm00001d013003	both-retained
EER93216	Zm00001d034600	.	maize1-retained
OQU90756	.	Zm00001d013004	maize2-retained
KXG37275	.	Zm00001d013005	maize2-retained
KXG37278	.	Zm00001d013006	maize2-retained
OQU90758	.	.	non-syntenic
EER93218	.	Zm00001d013007	maize2-retained
OQU90761	Zm00001d034601	Zm00001d013003	both-retained
EER90659	.	Zm00001d013008	maize2-retained
EER93219	Zm00001d034598	Zm00001d013009	both-retained
EER90660	.	Zm00001d013010	maize2-retained
EER90661	.	Zm00001d013011	maize2-retained
EER90662	Zm00001d034597	Zm00001d013012	both-retained
OQU90762	.	.	non-syntenic
EER93220	Zm00001d034596	.	maize1-retained
EER93221	Zm00001d034595	.	maize1-retained
OQU90766	Zm00001d034594	.	maize1-retained
EER93223	.	Zm00001d013013	maize2-retained
EER90663	Zm00001d034591	Zm00001d013014	both-retained
EER93224	.	Zm00001d013015	maize2-retained
OQU90768	.	.	non-syntenic
KXG37283	Zm00001d034590	Zm00001d013019	both-retained
KXG37285	.	.	non-syntenic
OQU90769	.	.	non-syntenic
EER90664	Zm00001d034588	.	maize1-retained
OQU90770	.	.	non-syntenic
EER90665	.	.	non-syntenic
EER90666	Zm00001d034586	.	maize1-retained
OQU90772	Zm00001d034584	Zm00001d013021	both-retained
EER93229	.	Zm00001d013022	maize2-retained
EER90667	Zm00001d034582	Zm00001d013023	both-retained
EER90668	.	.	non-syntenic
KXG37288	.	Zm00001d013030	maize2-retained
EER93230	Zm00001d034581	.	maize1-retained
OQU90773	Zm00001d034578	.	maize1-retained
OQU90774	.	Zm00001d013025	maize2-retained
EER90673	Zm00001d034577	Zm00001d013026	both-retained
EER90674	Zm00001d034575	Zm00001d013027	both-retained
EER93232	.	.	non-syntenic
EER93233	Zm00001d034572	Zm00001d013028	both-retained
KXG37294	.	.	non-syntenic
OQU90775	.	.	non-syntenic
OQU90776	Zm00001d034571	.	maize1-retained
EER90677	Zm00001d034569	.	maize1-retained
OQU90781	Zm00001d034568	.	maize1-retained
EER90679	.	Zm00001d013029	maize2-retained
EER90680	Zm00001d034563	.	maize1-retained
EER93235	Zm00001d034564	.	maize1-retained
KXG37302	Zm00001d034565	.	maize1-retained
EER93237	Zm00001d034562	Zm00001d013030	both-retained
OQU90787	.	.	non-syntenic
KXG37304	Zm00001d034560	.	maize1-retained
EER90681	Zm00001d034559	Zm00001d013032	both-retained
EER90682	.	.	non-syntenic
OQU90788	Zm00001d034558	.	maize1-retained
EER90684	Zm00001d034553	.	maize1-retained
EER93240	Zm00001d034552	Zm00001d013032	both-retained
EER90686	Zm00001d034552	Zm00001d013032	both-retained
EER93241	.	Zm00001d013033	maize2-retained
EER93242	Zm00001d034550	Zm00001d013034	both-retained
OQU90789	.	.	non-syntenic
EER93243	Zm00001d034550	Zm00001d013034	both-retained
EER93244	Zm00001d034547	.	maize1-retained
KXG37308	.	Zm00001d013035	maize2-retained
EER90688	.	Zm00001d013035	maize2-retained
EER93245	.	Zm00001d013035	maize2-retained
OQU90794	Zm00001d034546	Zm00001d013038	both-retained
EER93246	Zm00001d034543	Zm00001d013039	both-retained
EER90692	Zm00001d034534	.	maize1-retained
EER90693	.	Zm00001d013040	maize2-retained
EER93247	Zm00001d034533	.	maize1-retained
OQU90795	Zm00001d034532	.	maize1-retained
KXG37310	.	.	non-syntenic
KXG37311	Zm00001d034531	.	maize1-retained
EER93249	.	.	non-syntenic
KXG37312	Zm00001d034528	Zm00001d013041	both-retained
EER93250	Zm00001d034527	Zm00001d013042	both-retained
EER93251	Zm00001d034526	.	maize1-retained
EER93252	Zm00001d034525	Zm00001d013043	both-retained
KXG37316	Zm00001d034524	.	maize1-retained
KXG37315	.	.	non-syntenic
EER93253	Zm00001d034523	.	maize1-retained
EER90694	Zm00001d034523	.	maize1-retained
KXG37317	Zm00001d034523	.	maize1-retained
EER90695	Zm00001d034522	.	maize1-retained
OQU90799	Zm00001d034521	Zm00001d013045	both-retained
OQU90800	Zm00001d034520	Zm00001d013045	both-retained
KXG37319	.	.	non-syntenic
KXG37322	.	.	non-syntenic
EER90699	Zm00001d034519	.	maize1-retained
KXG37324	Zm00001d034518	Zm00001d013046	both-retained
KXG37326	Zm00001d034517	Zm00001d013047	both-retained
KXG37329	.	Zm00001d013056	maize2-retained
EER93257	Zm00001d034516	Zm00001d013048	both-retained
EER90700	.	.	non-syntenic
EER90701	Zm00001d034515	.	maize1-retained
OQU90802	.	.	non-syntenic
EER90704	.	.	non-syntenic
EER93258	Zm00001d034514	.	maize1-retained
OQU90803	.	Zm00001d013049	maize2-retained
EER93260	Zm00001d034513	.	maize1-retained
EER93261	Zm00001d034512	Zm00001d013050	both-retained
EER90705	Zm00001d034511	Zm00001d013052	both-retained
OQU90807	Zm00001d034510	.	maize1-retained
OQU90806	.	.	non-syntenic
OQU90810	Zm00001d034509	.	maize1-retained
EER90708	Zm00001d034508	Zm00001d013052	both-retained
EER90709	.	Zm00001d013053	maize2-retained
OQU90814	Zm00001d034506	.	maize1-retained
OQU90815	Zm00001d034505	Zm00001d013055	both-retained
EER90712	Zm00001d034503	.	maize1-retained
KXG37334	Zm00001d034502	.	maize1-retained
EER90714	.	Zm00001d013056	maize2-retained
EER93263	Zm00001d034501	.	maize1-retained
EER90715	Zm00001d034498	.	maize1-retained
EER93264	Zm00001d034497	.	maize1-retained
KXG37336	.	.	non-syntenic
OQU90818	Zm00001d034496	.	maize1-retained
EER93266	Zm00001d034495	.	maize1-retained
OQU90821	Zm00001d034494	Zm00001d013057	both-retained
OQU90822	.	.	non-syntenic
EER93268	.	Zm00001d013058	maize2-retained
EER90717	.	.	non-syntenic
KXG37340	Zm00001d034493	.	maize1-retained
EER93269	Zm00001d034492	Zm00001d013059	both-retained
KXG37341	.	Zm00001d013060	maize2-retained
EER90722	Zm00001d034491	.	maize1-retained
EER90723	.	Zm00001d013061	maize2-retained
OQU90826	.	.	non-syntenic
KXG37346	.	.	non-syntenic
EER93271	.	Zm00001d013063	maize2-retained
EER90724	.	.	non-syntenic
KXG37348	.	.	non-syntenic
EER90726	.	Zm00001d013063	maize2-retained
EER93274	Zm00001d034490	.	maize1-retained
EER93275	Zm00001d034488	.	maize1-retained
EER93276	Zm00001d034487	.	maize1-retained
OQU90829	.	.	non-syntenic
EER93277	Zm00001d034486	.	maize1-retained
EER93278	Zm00001d034485	.	maize1-retained
EER90727	Zm00001d034484	.	maize1-retained
KXG37349	Zm00001d034483	.	maize1-retained
OQU90830	Zm00001d034482	.	maize1-retained
EER93280	.	.	non-syntenic
EER93281	Zm00001d034480	Zm00001d013065	both-retained
OQU90831	Zm00001d034479	Zm00001d013066	both-retained
EER90728	.	.	non-syntenic
OQU90832	.	.	non-syntenic
EER93286	.	.	non-syntenic
KXG37354	Zm00001d034475	.	maize1-retained
EER90731	Zm00001d034469	Zm00001d013069	both-retained
EER93288	.	.	non-syntenic
KXG37356	.	.	non-syntenic
KXG37357	Zm00001d034468	.	maize1-retained
KXG37358	Zm00001d034467	Zm00001d013070	both-retained
EER90734	Zm00001d034463	Zm00001d013071	both-retained
EER93291	Zm00001d034462	Zm00001d013072	both-retained
KXG37359	.	Zm00001d013073	maize2-retained
EER90735	Zm00001d034453	.	maize1-retained
EER90736	Zm00001d034453	.	maize1-retained
OQU90833	Zm00001d034460	.	maize1-retained
EER90738	Zm00001d034457	Zm00001d013074	both-retained
EER93294	Zm00001d034446	Zm00001d013075	both-retained
KXG37363	.	.	non-syntenic
EER93295	Zm00001d034444	.	maize1-retained
KXG37365	Zm00001d034443	.	maize1-retained
EER90739	Zm00001d034440	Zm00001d013076	both-retained
EER90740	Zm00001d034439	Zm00001d013077	both-retained
OQU90835	Zm00001d034435	.	maize1-retained
EER93297	Zm00001d034433	.	maize1-retained
EER93298	Zm00001d034433	.	maize1-retained
EER90742	Zm00001d034432	Zm00001d013078	both-retained
EER90743	Zm00001d034431	Zm00001d013078	both-retained
KXG37367	.	.	non-syntenic
EER93299	Zm00001d034429	Zm00001d013079	both-retained
KXG37368	Zm00001d034428	Zm00001d013081	both-retained
EER90744	Zm00001d034427	Zm00001d013080	both-retained
EER93301	Zm00001d034428	Zm00001d013081	both-retained
EER90745	Zm00001d034425	Zm00001d013082	both-retained
EER90746	Zm00001d034424	.	maize1-retained
EER93302	.	Zm00001d013083	maize2-retained
EER90747	.	.	non-syntenic
EER90748	Zm00001d034422	Zm00001d013086	both-retained
OQU90840	.	.	non-syntenic
KXG37371	Zm00001d034420	.	maize1-retained
OQU90843	Zm00001d034417	Zm00001d013087	both-retained
OQU90842	.	.	non-syntenic
EER93305	Zm00001d034419	Zm00001d013087	both-retained
KXG37374	Zm00001d034418	Zm00001d013087	both-retained
EER93307	Zm00001d034416	Zm00001d013089	both-retained
EER90749	Zm00001d034415	Zm00001d013089	both-retained
KXG37375	Zm00001d034416	Zm00001d013089	both-retained
OQU90844	Zm00001d034413	.	maize1-retained
EER93309	Zm00001d034410	Zm00001d013090	both-retained
OQU90845	.	.	non-syntenic
EER93310	.	Zm00001d013091	maize2-retained
KXG37377	.	.	non-syntenic
